text,stars,complaint_category,complaint_label
"this is a top sushi joint? really? i had kinda forgotten what less than medicocre sushi tastes like. most conveyor belt places serve more flavorful sushi. first of all, what's with the mayo on everything? rule of thumb if it has mayonnaise or tomatoes, or if it's cooked and lacks an exotic name like ankimo, it's probably not real sushi. my tekkamaki had a funny color and sour taste to it and for goodness sake, why can't they call it tekkamaki?. the scallop sushi was not very sweet. the softshell crab roll was greasy and without texture, not to mention the white mayo-laden crab salad that accompanied it.shudder! this place averages 4 stars on yelp. you're kidding, right? you people must not get our that much. whats the criteria for a 3? it stays in your stomach?",2,Food Quality,0
"absolutely disgusting. i had enchiladas and a taco, just to give them a chance. this was the worst mexican food i've ever had. waaaaaay too much government tasting cheese on the food, and hardly any meat. i do have really high standards because i grew up on tex-mex but this was just pathetic.",1,Food Quality,0
"we use to visit this pub 10 years ago because they had a nice english waitress and excellent fish and chips for the price. however, we went back a few weeks ago and boy were we disappointed. the price of the fish and chip dinner went up and they cut the portion in half. no one assisted us in putting two tables together, we had to do it ourselves. two guests wanted a good english hot tea and they didn't brew it in advance, it was just thrown into a small metal tea pot and we had to ask for cream and sugar. so we've decided there are newer and better places to eat fish and chips, especially up in north phoenix.",1,Food Quality,0
"my rating is based on the fact that as a vegetarian, they charge 8 for a small mediocre bean burrito. maybe if this bean burrito were exceptionally good or large in size, but it was neither. i'm not saying that if your idea of mexican food is chipolte, you will not find what you are looking for and be happy here. but if what you offer your vegetarian customers is deleting the meat and not adding anything else and charging full price, i can get much better elsewhere and pay way less. gringos take off the chipolte blindfolds! go to a real mexican restaurant and see what real food is supposed to taste like!",1,Food Quality,0
"this place has gone so downhill. if i hadnt gotten my chips, salsa water immediately, i wouldve walked out. margaritas are always awesome. but the service and food is straight up awful. microwaved enchiladas, no rice, rude, cold, unfriendly, uninviting service.if you're looking for a fabulous, neighborhood mexican restaurant, try las glorias grill. the location isnt as great, but the food, service and drinks, blows this place outta the water. after years of going to aunt chiladas, im never going back again. they dont deserve your money either.",1,Food Quality,0
i went to arriba last night with my wife and another couple. i have been to this location a handful of times and always had the same result. the food was okay but the main problem here is the super slow service. it took us nearly two hours to eat dinner here. it took forever to get our chips and salsa. it took us nearly as long to get our drinks. forget about refills. when our food finally arrived we asked for an additional plate but never got it. i asked for a water when our food came out and got it after i was 3 4 done with my meal.and i do not eat fast. our waiter was friendly but hardly ever checked in with us. when we asked for the check he said he would bring it in five minutes. his five minute deadline was not met. i don't think i will be eating here again. i have given them too many chances.,2,Food Quality,0
"i'm never shopping here, i don't wanna shop somewhere where associates think if u can afford it in just goona purchase the bag online then looked at if i could afford it",1,General Dissatisfaction,5
"your reviews are hilarious! shoot--who was this referring to? i try to avoid wm. i'm always warned about the possibility of tb or now, pig flu. i think the hub just doesn't want to go shopping--not that i like shopping. i know someone who worked wm in wa and she says the conditions are just horrible for employees. i've spoken to at least one cashier that is actually friendly and loves his job benefits and bonuses. he's a minority i guess bc as you all said, you can't find anything and can't get help without attitude, usually. i'm standing there staring at 2 mgrs, and they just ignore me for a few minutes? i didn't want to interrupt the conversation, so i waited. finally, one asks if i need help? naaaaah, i was just admiring your huge body and wondered how long it might take me to look that way. fools! on my last visit, a customer said ""excuse me"" to the 3 employees behind me in the aisle. i glanced at her and she sighed, rolled her eyes and shook her head as they all ignored her. i chuckled and acknowledged her frustration. then one employee pipes up with ""oh, i'm sorry ma'am, can we help you?"" she asks to find an item, the customer thanks them, they say ""you're welcome"", the customer leaves and they sarcastically continue to each other ""that's what we're here for. no, that's not why we're here. we're not here to find stuff for stupid people, we have better things to do."" that's why, when i walk by an employee working, if they lay eyes on me, they immediately look away and pretend to be engrossed in their job, to avoid stopping to help. wt? what's wrong w this management? i agree, you can find some deals and save some money, but the attitude is over the top. there are a few employees that actually smile and appear friendly, at least when i see them, and i can point them out. if not for the more often than not occurences as mentioned above, i stay out of wm as much as possible, which is a lot. i've drastically reduced my trips there, but more importantly, i've cut out a huge chunk of purchasing from wm.",1,Service Delay,1
"i used to be a los sombrero's local. started going 1998 before they were in their current location. the past few years los sombreros has gone hill. increasing prices and food not as good. marg's are subpar now. los sombrero's is no longer living up to what it used to be. food is still good, just no longer great. all great things change and i am sad to see los sombreros change for the worse. the original chef owner jeff smedstad has left and started elote in sedona - i must try there as i here it's what los sombreros used to be.",2,Food Quality,0
"being a phoenix native, i almost felt embarassed that i only ate at pete's for the first time seven years ago. i had gotten back from england and was trying to recreate the orgasmic fish and chips experience i had there. pete's was around the corner from my complex and after all, i did see so many of those ""i'm addicted to pete's fish chips"" bumper stickers all around tempe. i had to try it. i ordered the two fish combo, and my reaction was.what the.?.are they serious? 1. the ""chips"" suuuuck. no salt, overcooked and stiff. i couldn't even eat them. 2 the two squares of fish i got were alright, but i may as well have gone to safeway and bought a box of gorton's fish sticks. 3. the red ""special sauce"". wtf? and you have to pay extra if you want tarter? lame. 4. no malt vinegar. enough said. why there is such a collective hard-on for this place is beyond me. it's a laughably bad example of fish and chips.",2,Food Quality,0
this was the second time i placed an order over the phone that was delayed over an hour. i was told over the phone that it was going to be only 15-20 min for me to pick it up. i showed up 30 min later and my order was still delayed. i ended waiting for another half of hour to receive my order. the pick up service was the worse i have ever experienced.,1,Service Delay,1
"great in its day, now leaves a lot to be desired. deserves credit as a phoenix landmark chinese restaurant. this restaurant has been here for 38 years. i've been going here off and on for 35 years. i go here more for sentimental reasons, and not so much for the food. the interior still retains some of the original decoration style from the original restaurant established nearly 40 years ago. the rest of the decorations have been torn out. i believe the decor is modeled after the forbidden palace in beijing - see the vault-of-the-heavens style crenelations in the ceiling. i have this restaurant - in its former self - to thank for this back in its day, this restaurant was really great, and the entire atmosphere lent to an ambiance that actually inspired me to study chinese and then later go live over there for some years. sadly, the food here is not all that good. the fryer oil they use here is pretty old. the fried rice arrives looking almost black from the fryer oil? too much soy sauce? instead of a rich golden brown, and tastes overcooked somehow. the eggrolls are just ok. definitely not fresh. a lot of the menu items from the original owners are no longer on the menu for example the special ""chinese cakes"" served on a plate topped with a delicious gravy-like brown sauce and shallots - probably some form of cantonese food. all of this is gone, and replaced by very plain fare, and not very good at that. if you like salty, greasy, plain-tasting yet somehow edible chinese food not far from the 1-per-scoop variety, then go here. golden phoenix's heyday as a great restaurant is long-gone. let us bow our heads in sadness to a place that once was very good - now passed on.",1,Food Quality,0
"food was decent, not too sure how this place is getting such rave reviews though. probably the most expensive mexican place of it's style. 25 for a burro, two tostadas, and two mini-tacos. seriously?! also, no free refills or chips salsa. are we going back? no.",2,Food Quality,0
"i don't know what's up with eddie? i always found him to be pleasant, and really taking care of the customers. however on the 17th of november we had a birthday party of 19 people, and they gave us one waitress. we sat down at 7 00 pm and our main course came at 9 15. no real big deal but one person can't handle a table of 19, and we were having fun. so one of the guest's had ordered the 12.00 burger along with a salad and told the waitress no mayo because he can't stand it at all. the burger comes out and it has mayo on it, and he tells the waitress. she was not at fault, and had written it down clearly. he asked for a new one, and she comes back and say's eddie cooked the hamburger and refused to cook a new one but would make him a new bun. he didn't want that because he hates mayo that much, so there was no problem taking it off the tab, but eddie would not make a new one. lol. what's up eddie? i don't understand at all, you take it off the bill because you screwed up, but refuse to make another burger that you would have been paid for. then you end up looking like a fool in front of the other eighteen people. my daughter has even taken one of your classes, and said what a great guy you are. really, really bad pr that night and the next birthday party wont be at eddie's house. great time that night, but the ending leaves a very bad taste in 19 people's mouth.",1,Food Quality,0
"how very disappointing! nello's had a delightful menu with an array of salads, pizzas and sandwiches. not jac's. if the new restaurant wants to be a ""pub"", it should have a wider variety of selections. the menu was sad. due to dietary restrictions, i asked for a plain garden salad. lettuce, tomatoes and onions. and it wasn't very fresh either. sad. guess we'll be driving up north to pima crossing to visit nello's.",1,Food Quality,0
"great donuts but horrible service. didn't get anything we wanted due to a language barrier between us and the limited english speaking employee. she claimed, in broken english, to only speak spanish. she understood only the word ""dozen"" and we got a dozen of what ever she felt like giving us, then proceeded to ignore us while using her cell phone! donut shops are a dime a dozen and we will never again return to bosa.",1,Service Delay,1
"k. i don't get it. i go there every now and then. i have only had the pizza. it is a step up from supermarket frozen pie. i like it because i like frozen pizzas. but i think the ratings given are a bit misleading. it is ""cost effective"" and if i think this place might be amazing for stoners. but if you are looking for high quality pizza this is not it. i would however get it over the chain stuff.",2,Food Quality,0
"so far my restaurant experience in phoenix has been subpar when it comes to service and this one took the cake. everytime the server came to our table it was just to do one thing and we would be left in the lurch with our mouths silenced in the middle of asking for something. finally the food came and it was actually quite delicious, i ordered the turkey eggs benedict with potatoes and fresh fruit. however once again the food was dropped off with no silverware, no condiments and no refills on the coffee. i truly hope the restaurant re-trains the staff or hires a whole new batch, because i am afraid food alone can not keep a business afloat.",1,Food Quality,0
"what has happened to the coffee plantation? i've been out of the valley for 8 yrs. and the coffee plantation was always such a good place for food, bakery items, and of course coffee. on my last visit the store was dirty, the full menu of food was gone, and the coffee was burnt. i went to the biltmore and alas that location was gone. where did my old coffee plantation go?",2,Food Quality,0
"sorry banana leaf. i'm usually not picky at all but the thai curry tofu and vegetable dish i picked up last night was awful. really. it was almost not edible. the packaging was not great, so it kind of spilled a bit in the bag - not a good start. perhaps the curry is the 'yellow curry' that jenny r refers to in her review - maybe the chef should taste it before serving it - it was nasty! seriously, i've had better asian food from the food court at the mall before! i will say, you did listen to my request to add eggplant to the dish - thank you. but if someone requests eggplant, perhaps you should make sure it's cooked fully next time. i had a bite that was barely cooked - it was crunchy. so, needless to say - i don't think i'll be giving you another shot. first impressions sometimes last a lifetime. sorry banana leaf!",1,Food Quality,0
"i would absolutely not recommend living here. i lived at these apartments for a year, and wow was the management staff a mess. when i moved in, my mailbox was broken so i couldn't get mail for a week. they didn't give me a pool key, they gave me the wrong apartment keys, they would mix up all my information, and they just weren't very nice. i can't remember how many times they lost my work orders so i'd have to call and call to make sure things got fixed in my apartment! the neighbors were loud--i had to call the police maybe four times because they wouldn't turn down their music and i had to study for school and finals, and random people came banging on the door looking for some girl who had obviously p'd them off. the police came to my house in the middle of the night looking for her, too. one time, they gave my garage to somebody else even though i was still paying for it and when my husband came home in the evening with his pick-up full of expensive equipment, we had to wait for the cops to come and figure out whose car it was who was parked in our garage! it was a total nightmare. shortly before i moved out new staff came in and they seemed somewhat better organized. but---i wouldn't take the chance. for the same price, you can definitely find somewhere better to live.",1,Service Delay,1
"i had received an email from a student retention telling me that i still owe money for the time that i had taken classes two weeks although these fools canceled my financial aid. i will sue this school if they even attempt to collect money from me and i have withdrawn from the classes on the right time, but this rep. told me that the withdrawal period was jan. 11.",1,Food Quality,0
"i'm sorry to be what seems to be the lone one star review. either i got there on the worst day in their history, or everyone drank the koolaid, or i just have different expectations and taste buds. it seems like a great idea. it's a build your own burger joint, 7.00 gets you a cooked to order burger with one cheese, up to 4 toppings, and 2 sauces with fries or onion rings-or some other choices. they also claim that the beef is local, hormone free, etcetera. i chose a rare burger with american, grilled onions, sauteed mushrooms. tomato and lettuce, with mayo and mustard on a potato bun. i added bacon for a dollar. first, let me point out that if you are in a hurry, don't go here to eat. i waited exactly 39 minutes for my food. this would not be a big deal if 1. i had been warned before they ran my credit card--what if i only had 30 minutes for lunch? 2. they had places to sit but it's tiny and full. 3. they had magazines, a jukebox, anything to entertain you for 39 minutes. you can't even get your drink early to sip on that. at the 30 minute mark, i'm ready to eat cardboard with a little ketchup on it, so maybe they make you wait so everything tastes even better? anyway, before my burger comes up, i notice that the lady behind the counter is saying that the orders overwhelmed the kitchen. i look in the kitchen---they have one guy trying to do all this? he'd better be getting a share of the profits! now i'm jsut feeling really bad for this guy back there. i finally get my burger! yay! i'm so excited! all those 4 and 5 star reviews! i take a bite and.the patty shoots out the other side of the bun like it had been shot out of a cannon. wth? i look at the patty. it's clean as a whistle. i mean there is no mayo or mustard or cheese smeared on the patty. i turn it over and it slides out of my fingers back into the basket. the other side is clean too. the freakin' burger was so greasy, it slid all over the place! then a greasy glop of what must have been the mushrooms and onions slid out. still not seeing any cheese, mayo, or mustard anywhere. just oil. tons and tons of oil. i open the bun, on one side is a heavily oiled slick of lettuce glued to the bun by i am guessing a slice of cheese. the other side of the bun has some mayo and mustard residue--and more oil. i'm grossed out, but hungry. i take a bite. it's not rare, it's well done and oddly, tastes very faintly of liver. btw, remember the bacon i paid a dollar for? not there. i'm really puzzled that instead of cheese. or beef, or something, i just taste that faint livery taste. so i take another bite.there isn't even any salt or pepper, or anything on the burger patty. this is perhaps, the worst grade of meat available for human consumption. i take a third bite because that second bite brought back a memory of when i worked for a meat company here in town. now i recognize the flavor. i'm not saying that what i ate that day at two hippies was old dairy cow, but that's exactly what it tasted like. at this point, i turn to the fries. the are shriveled and dark and taste like they've been fried and then microwaved. i couldn't get out of there fast enough! forget my danged dollar! just get me in the car! exactly one hour and 20 minutes later, i had vicious diarrhea i haven't had that trouble even with eating junk food at the fair! no. no. a thousand times no! red robin is my next burger stop. period",1,Food Quality,0
"ok, so i have to share my morning experience. but first i must start off by saying this i'm no moron. honest. so, this morning i stopped for gas. my tank was getting dangerously low and there was no way i'd make it to work. that's okay, for i allotted time this morning for re-filling my tank. from my casa, i turned east on indian school, vaguely remembering there's a quick trip nearby. perfect. i had stopped there before. but it wasn't a quick trip i saw at the corner of central and indian school. not wanting to risk running out of gas, i opted to stop here, at this ampm station. i pulled up to the closest gas tank, got out of my car, took off my gas cap and reached for the gas nozzle. only then i discovered there was no pay-at-the-pump option. the short notice on the pump said to select my grade and start filling. ""wow,"" i thought, ""it's so odd for a station to trust people - especially in this area - to not drive off without paying."" so, i followed the instructions, but nothing happened. i kept hitting the grade button. it kept beeping back at me. still nothing. to top it off no pun intended , the nozzle was wrapped in this huge rubber tube thing that compressed when i applied pressure to the handle. i had never seen anything like it. thinking my particular pump was fuct up, i pulled my car up to the next one. that's when i saw it - this strange machine, like an amtrack ticket dispenser. i approached with curiously. that's when i realized. you swipe your card at this central machine or deposit cash, if that's your preference and then go back to your pump. ah-ha. this is how this station works. so, i did just that. i punched in my gas pump number 4 and went back to my car to re-fill the tank. already annoyed at this point, i figured i'd pump enough gas to get me through the next couple of days. only, it wasn't pumping. the long rubber thingy was hindering my ability to hook the nozzle up to my gas tank. ugh. so, that's when i flexed my muscles and applied enough pressure to squeeze out 12 worth of gas. then i re-hooked the nozzle on its perch and walked back to the strange machine for my receipt - it told me to do so when i swiped my card. only, no receipt came out. i punched the keypad with defiance and walked off. stupid ampm station. since when does any gas station benefit from being different? i'm so used to pay-at-the-pump you just swipe your card, select your grade, pump your gas, grab your receipt and go. quick trip doesn't torment me like this. there is no rubber nozzle thingy in my way. grr. screw this. i'm never going back there again. disclaimer said writer of review graduated high school with a 3.98 g.p.a and attended a well accredited college of her choice, where you went on to graduate with honors, having made the dean's and president's honor roll more than once. said writer of review also has street smarts and is able to saddle and ride a horse, do unimaginable cool things with a twisty tie and throw some mean muay thai elbows.",1,Service Delay,1
"they close earlier than most large book retailers, 10pm . major bummer for those who like to hit up a bookstore late at night instead if the club! lol. it seems i usually can't find what i want at this particular location. it's in my area or i'd probably pass on it altogether. this review is location specific. i do love bookstores in general.",2,General Dissatisfaction,5
wow. worst food poisoning of my life. ate here saturday night for my birthday. started to just not feel right about 20 minutes afterward. sunday i never left the bed except to go be sick. i lost a full five pounds in one day. stay away from the salmon. i for one will never go back. i'm really sad too because i decided on it from the reviews. another reviewer said they were disappointed in the recent quality. i should have listened!,1,Food Quality,0
"the only thing that this krispy kreme location has going for it is convenient location and a drive through. you will not see any dough-nuts being made here which is sort of part of what the krispy kreme experience should be. seeing them being made ordering them as they come out so they are still warm for your first bite. now then let's consider this review then as if this was a regular dough-nut shop and it also does not stand up. the mom-and-pop shop i have closer to me makes better tasting ones, but it is probably because they make them right then and there. i am assuming that they are hauling the ones they do sell here from a different location or a centralized place where they make them, which completely explains why the glazes, etc. taste as if they have been sitting for a while. they are still ok dough-nuts. the other thing that this place lacks is in the coffee. i ordered a coffee and the person had one of those super-sized shamrock farms half-and-half containers and asked us if i'd like some in my coffee and to tell her when to stop. i am sorry but, who puts anything on their coffee without even tasting it first. not me that's for sure. worst experience getting coffee here. bottom line the dough-nuts here will not be what you would expect from krispy kreme and forget about ordering coffee that will be to your liking.",2,Food Quality,0
"finally tried this place after passing it weekly for the last year or so. atmosphere is pretty cool, but food lacked any special quality. large glass of orange juice was nearly 6.00.without the vodka lol ! hash browns were kind of burned, and small portion to boot. probably won't go back, as there are so many other breakfast places nearby that are much better.",2,Food Quality,0
"service was great, food was ok, restaurant was clean, but the price was more than it's worth.",2,Food Quality,0
"horrible experience. we had a home emergency which forced us to move out for 15 days. we referred to them by a friend. we explained to them we're seniors on limited income but assured them they'd be paid in full. we paid the medical and our insurance co verbally told them that once the bill was submitted they would be paid. but, no, no, no! ""not our policy"" they were holding our two kids for ransom! horrible, uncaring staff to deal with.",1,Staff Behavior,2
"this place is the classic bait and switch joint. i ordered through the drive-thru and told the person i was ordering that i had a coupon for a ""buy one-get one free"" chicken tender sandwich, the bun was hard and not at all like the picture on the coupon. the two small tenders were extremely rubbery and looked like they had been retrieved from the trash can after they had been tossed for being under a heat lamp too long. the lettuce was the part that most people toss when cleaning and the tomatoes were thin and pale and looked like they had been genetically mutated . . .uhh, i mean grown. this wasn't the first time the server manager did this to me. i should have known better. i used a coupon a while back there for a buy one, get one free breakfast burrito and asked that they prepare it to look like the picture that appeared on the coupon. my bad! when i got down the road and reached into the bag to take a bite, the cook had apparently taken an onion and diced it up super fine and threw that in with it. if you want a decent hamburger or chicken sandwich without attitude and that looks as advertised or better, go to smash burger. as for this place, never, never again. the only good carl's jr. i have found in the valley so far is off the superstition hwy 60 and tomahawk. from the manager down, they strive to live up to their advertising.",1,Food Quality,0
"i have heard so many good reviews for this place, so who wouldn't try it? i should have taken the hints before i got my meal, that this wasn't a good choice. hint 1 location - it's right next to a smoke shop and a gas station across the street from a mobile park. hint 2 food test - it was nice that i got to sample the food even if the first sample wasn't up to par, the guy wouldn't leave me alone about sampling. hint 3 decor - i know this should never have anything to do with the food, but it felt like i was eating at a cousins house on the bad side of town, wobbly chairs, wobbly table. i ordered the teriyaki chicken didn't think it would be bad, i mean who can mess up teriyaki? with chicken fried rice once again, how on earth can you mess up fried rice? the chicken tasted like it was frozen and thawed out all day. such a horrible taste. the fried rice tasted like it too was thawed out, kind of had a gross tangy after taste. there also wasn't any spices or egg in the fried rice, just a bunch of green onion,which technically isn't a fried rice. this meal can be related to something you get in the frozen section at a grocery store. they also give you a snickerdoodle cookie, that looked like it could be the best thing on the menu, until i noticed it wasn't cooked all the way through. but the icing on the cake was the gross pube like grey hair i found floating in my teriyaki sauce. so the expensive 8 meal was so not worth it, and i 'm sure when diners drive ins and dives visited, the food was great, but today it was the grossest thing i've ever had.",1,Food Quality,0
"not good. and it's not been for a couple of years. there are advantages good location, rarely busy, good for larger groups. but last few times we've been there have experienced average food and lousy service. when joining my already seated group on saturday 3 28 the high-school hostess wagged her finger in my face like an east german border guard, the waffle house waitress poked me in the shoulder to get my attention and the wife's chicken dish had to be sent back as there were only 2 measly pieces of chicken in it. only 2 beers on tap. garbage.",1,Food Quality,0
"i've heard when better waitresses are there, service is better, but if you go on the night she isn't there, service sucks.",2,Service Delay,1
"if einstein bros is the benchmark at 3 stars, then bruegger's barely earns 2 stars. customer service is mediocre. only one gal who i've seen a few times actually smiles, makes eye contact, and seems pleased to be working here. everyone else acts inconvenienced that i am there. if you order a simple bagel w cream cheese, you will be o.k. they are not bad, but nothing special. if you order a bagel sandwich, be sure to bring a towel as they leak a lot and turn soggy after a few minutes. coffee is o.k., but nothing special. store cleanliness? it could be better. the beverage counter with the lids and coffee creamers etc. is often messy and sticky. i noticed that there is a duplicate entry for this location, so i'm pasting this review on the other as well.",2,Service Delay,1
will never eat here again. sandwich was meteocre and overpriced. on top of that i was charged more than i was told the total was. horrible first time experience!,1,Pricing Issue,3
"this place is not that great. shogun express has way better chicken teriyaki rice bowls and beyond. the chicken is what really bothered me here. it was really tough and extremely chewy. and that was the white meat. they're bowls are around 5 bucks which i like, but they're not even filled to the top. all in all i came here because shogun was closed and there aren't any other rice bowl places in scottsdale that i know of. eh.",2,General Dissatisfaction,5
"great margaritas, but kinda pricy for what they have. their food isn't all that special",2,Food Quality,0
"let me start by saying i have never had bbq i didn't like. i've had bbq i could do without, but never that i didn't like. went in for lunch today and i was the only customer, so i figured cool i will get good service no matter what. the girl sat me and was very pleasant and indicated my waitress would be right over. about ten minutes later, watching the waitress talk on a personal phone call at the bar the whole time, the girl who sat me came over to take the order. she walked up, didn't say a word, and just stared at me. ok i can live with that it was only a minor inconviencence. got the 4 lunch chopped pork sandwich with beans and a lemonade and it came out very quickly. possibly because the beans were bush's or the like? they tasted like canned baked beans heated up in a microwave. not cool. the sandwich was ok at best. thinking back on stacy's, honey bear's, and other great bbq spots, this one was not even in the same arena. i'll have to go back though and try a sandwich with the correct sauce on it. there was one sauce on the table which after reading reviews here i had assumed was the bbq sauce. it looked a little watery but i thought whatever its nc style, and it may have been because it was a bit vinegary. on the way out i noticed every other table had a red sauce labeled bbq, so i guess they have two different ones. i would have preferred the red one i assume. there was no atmosphere, the place was run down doesn't appear to have been remodeled after shish kabob house vacated and was generally a dirty feeling place. seeing as they didn't have any customers at lunch time, i'm assuming the place is going to lose money today. don't know about other days, but they better get their act together quick or it is going to fail.",2,Food Quality,0
"went last week, and ordered a dozen variety. i didn't care for any of them, very dry, the frosting wasn't very good,even my 9 yr old daughter spit her cupcake out!",1,Service Delay,1
"so i've been back to ra a few times now, and while the food is always acceptable, the service has gotten progressively worse each time. today my co-worker and i actually waited an unbelievable 50 minutes for our food, which - if your waitress stops by, checks in with you, apologizes, lets you know she knows you've been waiting - wouldn't have been nearly so bad. still extremely annoying, sure, but forgiveable. not this waitress - we had to call her over for every thing we needed. serioulsy, not once did she just stop by to check on us. we had to call her over to place our drink order, ask for sugar for our tea, to place our food order, to get the check, everything. so by the time the food came, i had to scarf down my grilled apple teriyaki salmon brick in 5 minutes to make it back to work on time. that's it, ra - you've lost another customer.",2,Food Quality,0
"can i just say, i hate everything about this store. if youre too lazy to go to goodwill and dig it out yourself for a third of the price, then i guess this is the place for you. if you are trying to sell anything, good luck. their askew sense of fashion will make most of your goods obsolete unless its tacky 80's regurgitation. the chick actually told me that the band t-shirts i was trying to pawn were too outdated while i had a bay city rollers and rockos modern life shirt in my hand off their rack. they are incredibly overpriced, the staff has an elitist air for some reason which you think would be hard to pull off in a tutu, leggings, and cowboy boots . saving grace, they have some killer old punk and skateboarding t-shirts on the cheap for guys and gals. but the only time i even go here is when the boyfriend decides to go thru eastside records vinyl catalog in its entirity. its like a plato's closet for lady gaga.",2,Staff Behavior,2
"strange layout that makes you think you got the worst table in the house no matter what table you're at. wait staff and the general manager wtf? standing around doing nothing in a mostly empty restaurant while customers wait and wait. it all comes off as the biggest tourist trap on stetson ave, even though the original barrio cafe is a local institution, and the prices are actually very reasonable. food and margaritas were all amazing, but when the front of the house doesn't seem to care if i'm there i won't be back.",2,Food Quality,0
"we've been going here for 25 years and i had my first bad meal recently. a rotten chicken tamale, the corn meal might have had rancid fat in it or the chicken was rotten, either way it was stinky. the wait staff didn't seem outraged and shrugged it off as though this has happened before. i may go back here in another year, but rosita's place is off limits for me now.",1,Food Quality,0
went to this place with family for a birthday party and tried various items from the menu. wasn't impressed with the food and the quality of the items. i've had better and will not be back since there are better places to dine at in the valley. sorry for being kind of harsh but i am only being real.,2,Food Quality,0
"love the idea - vegan mexican. have tried to eat there twice. both times checked their fb page for hours, both times they were closed. called their phone number, no one answered. no sign, no explanation on fb. pathetic.",1,Service Delay,1
"i'm giving this place 2 stars because it just doesn't have it. first off, the energy in this place is lacking.the food isn't anything to write home about and seriously, i could of made better in my own kitchen. the spinach con queso dip was ok, but the chips that came with it were stale and the chicken avocado sandwich was dry and came out like a burger not a sandwich.the skinny margarita's are horrible and lack tequila and the bartender doesn't know how to make a good martini to save his life! as for the staff? well our first waitress was a little too friendly and just about sat in my husbands lap.oh, i know that a little flirting comes with the job and is what you do to get a better tip, but come on honey, how did you know that i was not paying for that dinner? if i was, the only tip you would of gotten would of been a 'back off a little on the whole, i have daddy issues in flirting'! i have to admit though, once we changed seats after our dinner and went into the lounge area of the bungalow, our waitress knew exactly what she was doing when it came to her job and her flirting was exceptional.she knew how to work it while still being a classy lady, and i respect that! as for the clientele of this place, it's a younger crowd full of loud drunk guys at the bar watching the football game. what you expect in a sports bar.outside the crowds quieter and more tolerable. all in all, i won't be back and i won't be recommending this place to any of my family or friends!",2,Food Quality,0
atmosphere is like i'm at a mexican chinese jamaican restaurant. cuisine could be better.,2,General Dissatisfaction,5
"bad music, slow service, disgusting overpriced drinks, and annoying patrons. definitely wouldn't come back if someone paid me to. i can't even drink this margarita.",1,Service Delay,1
"i used to go all the time when i was in hs and last trip i noticed some change over of the stores from what i remember. the food court has okay variety, but not a whole lot. i think that the management company neglected this place for too long, it definitely needs its facelift. it's great for its convenience if you need to pick something up real quick but i wouldn't be spending all day there.",2,Food Quality,0
i think they need to hire a better chief the food doesn't taste right. my mom said she can teach them how to cook for free.,1,Food Quality,0
"never again, i brought my mountain bike in which i bought 1 week earlier from walmart to have them replace my flat inner tubes with puncture resistant tubes. i came back 20 minutes later when they said it would be done and as i rode away, the back tire rhythmically rubbed against the back brake. when i returned and told them about it, i was told the back wheel was not true. it was true for the whole short week since i purchased it from walmart. i plan to take it to their competitor landis and pay the extra 15- 25 to have the wheel put back to the straight condition it was in when i brought it to slippery pig in the first place. i would never give a shop another penny for an extra service i should never have needed on a brand new bike which coasted perfectly when i brought it in.",1,Service Delay,1
"went in for acrylics on friday and it was horrible! i've been getting acrylics for years and it has never been a problem to have them filed down.until this time. the tip of one finger was filed down so bad that it's blistered. at least the nail tech put some antiseptic on it so it's not infected. also, when i put some lotion on my hands tuesday a lot of my nails started getting sticky and filmy like they were going to disintegrate. not normal! i removed mine today and found that my nails were finely filed, so it looks like they would have fallen off soon anyway. i'm not going back there again.",1,General Dissatisfaction,5
"i soooo wanted to love this place after reading the great reviews. i must admit the decor is far better than the typical nail joint i too don't understand the point of pictures of really long red nails holding 100 bills.super cheesy. this place does not disappoint with decor it is like visiting a spa as opposed to a nail salon. also, i live nearby so this location is really terrific for me. unfortunately, i have been twice now.really, really wanted to make it work.and it just doesn't. the first time, i paid extra for all kinds of services like a hot stone massage for my feet and extra callous remover,etc. i left spending 90. no big deal if the product is good. however, i had to go home and clean up the polish left gooped around my cuticles, file the hard edges of my nails down to something that wouldn't injure my husband, and the massage was like being tickled and then rubbed with a rock.basically no massage at all. today, i just tried the manicure to see if a different person would be better. the standard massage was better, however, the gel polish application was no good.again gooped around my cuticles, and each nail of mine is filed into a different shape. i now have to redo the whole thing myself. perhaps it is because i have not requested a particular nail person? possibly.the reviews i am reading that are 5 star seem to reference a particular person. maybe i will try one more time and request kevin who seems to get good reviews. if so, i will post again.hopefully with a better rating next time. right now this place is truly not worth more than two stars and those stars are only for good location, reasonable prices, and nice atmosphere. i'd give zero stars for quality of manicure gel polish and pedicure.",2,Service Delay,1
this used to be one of my favorite restaurants but the service went way down hill. the new owners hire lots of college students with tattoos everywhere as well as lots of piercings. seems like tattoos and too many piercings are a job requirement along with disrespect and a lack of desire. the staff is what made this place the worst restaurant ever and doesnt seem to matter how often you let management know i just dont think they care. also in the past few years there is a growing number of homeless that sit out front begging for money. they sit so close to the outside patio that you have them dining with you or at least it feels that way making you incredibly uncomfortable. our last visit we sat on the patio which was next to a bench just outside the restaurant where a few homeless were stationed. one girl had a huge rat on her shoulder and it was beyond disgusting. management obviously doesnt care and does nothing to improve anything so we go way out of our way now to eat at the other greek in chandler at chandler mall.,1,Service Delay,1
